 Price , Area ,Bedroom,Bathroom,Stories,Mainroad,Guestroom,Basement,Hot Water Heating,Air Conditioning,Parking,Prefarea,Furnishing Status
" 13,300,000.00 "," 7,420.00 ",4,2,3,yes,no,no,no,yes,2,yes,furnished
" 12,250,000.00 "," 8,960.00 ",4,4,4,yes,no,no,no,yes,3,no,furnished
" 12,250,000.00 "," 9,960.00 ",3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
" 12,215,000.00 "," 7,500.00 ",4,2,2,yes,no,yes,no,yes,3,yes,furnished
" 11,410,000.00 "," 7,420.00 ",4,1,2,yes,yes,yes,no,yes,2,no,furnished
" 10,850,000.00 "," 7,500.00 ",3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
" 10,150,000.00 "," 8,580.00 ",4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
" 10,150,000.00 "," 16,200.00 ",5,3,2,yes,no,no,no,no,0,no,unfurnished
" 9,870,000.00 "," 8,100.00 ",4,1,2,yes,yes,yes,no,yes,2,yes,furnished
" 9,800,000.00 "," 5,750.00 ",3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
" 9,800,000.00 "," 13,200.00 ",3,1,2,yes,no,yes,no,yes,2,yes,furnished
" 9,681,000.00 "," 6,000.00 ",4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
" 9,310,000.00 "," 6,550.00 ",4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
" 9,240,000.00 "," 3,500.00 ",4,2,2,yes,no,no,yes,no,2,no,furnished
" 9,240,000.00 "," 7,800.00 ",3,2,2,yes,no,no,no,no,0,yes,semi-furnished
" 9,100,000.00 "," 6,000.00 ",4,1,2,yes,no,yes,no,no,2,no,semi-furnished
" 9,100,000.00 "," 6,600.00 ",4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
" 8,960,000.00 "," 8,500.00 ",3,2,4,yes,no,no,no,yes,2,no,furnished
" 8,890,000.00 "," 4,600.00 ",3,2,2,yes,yes,no,no,yes,2,no,furnished
" 8,855,000.00 "," 6,420.00 ",3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
" 8,750,000.00 "," 4,320.00 ",3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
" 8,680,000.00 "," 7,155.00 ",3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
" 8,645,000.00 "," 8,050.00 ",3,1,1,yes,yes,yes,no,yes,1,no,furnished
" 8,645,000.00 "," 4,560.00 ",3,2,2,yes,yes,yes,no,yes,1,no,furnished
" 8,575,000.00 "," 8,800.00 ",3,2,2,yes,no,no,no,yes,2,no,furnished
" 8,540,000.00 "," 6,540.00 ",4,2,2,yes,yes,yes,no,yes,2,yes,furnished
" 8,463,000.00 "," 6,000.00 ",3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
" 8,400,000.00 "," 8,875.00 ",3,1,1,yes,no,no,no,no,1,no,semi-furnished
" 8,400,000.00 "," 7,950.00 ",5,2,2,yes,no,yes,yes,no,2,no,unfurnished
" 8,400,000.00 "," 5,500.00 ",4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
" 8,400,000.00 "," 7,475.00 ",3,2,4,yes,no,no,no,yes,2,no,unfurnished
" 8,400,000.00 "," 7,000.00 ",3,1,4,yes,no,no,no,yes,2,no,semi-furnished
" 8,295,000.00 "," 4,880.00 ",4,2,2,yes,no,no,no,yes,1,yes,furnished
" 8,190,000.00 "," 5,960.00 ",3,3,2,yes,yes,yes,no,no,1,no,unfurnished
" 8,120,000.00 "," 6,840.00 ",5,1,2,yes,yes,yes,no,yes,1,no,furnished
" 8,080,940.00 "," 7,000.00 ",3,2,4,yes,no,no,no,yes,2,no,furnished
" 8,043,000.00 "," 7,482.00 ",3,2,3,yes,no,no,yes,no,1,yes,furnished
" 7,980,000.00 "," 9,000.00 ",4,2,4,yes,no,no,no,yes,2,no,furnished
" 7,962,500.00 "," 6,000.00 ",3,1,4,yes,yes,no,no,yes,2,no,unfurnished
" 7,910,000.00 "," 6,000.00 ",4,2,4,yes,no,no,no,yes,1,no,semi-furnished
" 7,875,000.00 "," 6,550.00 ",3,1,2,yes,no,yes,no,yes,0,yes,furnished
" 7,840,000.00 "," 6,360.00 ",3,2,4,yes,no,no,no,yes,0,yes,furnished
" 7,700,000.00 "," 6,480.00 ",3,2,4,yes,no,no,no,yes,2,no,unfurnished
" 7,700,000.00 "," 6,000.00 ",4,2,4,yes,no,no,no,no,2,no,semi-furnished
" 7,560,000.00 "," 6,000.00 ",4,2,4,yes,no,no,no,yes,1,no,furnished
" 7,560,000.00 "," 6,000.00 ",3,2,3,yes,no,no,no,yes,0,no,semi-furnished
" 7,525,000.00 "," 6,000.00 ",3,2,4,yes,no,no,no,yes,1,no,furnished
" 7,490,000.00 "," 6,600.00 ",3,1,4,yes,no,no,no,yes,3,yes,furnished
" 7,455,000.00 "," 4,300.00 ",3,2,2,yes,no,yes,no,no,1,no,unfurnished
" 7,420,000.00 "," 7,440.00 ",3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
" 7,420,000.00 "," 7,440.00 ",3,2,4,yes,no,no,no,no,1,yes,unfurnished
" 7,420,000.00 "," 6,325.00 ",3,1,4,yes,no,no,no,yes,1,no,unfurnished
" 7,350,000.00 "," 6,000.00 ",4,2,4,yes,yes,no,no,yes,1,no,furnished
" 7,350,000.00 "," 5,150.00 ",3,2,4,yes,no,no,no,yes,2,no,semi-furnished
" 7,350,000.00 "," 6,000.00 ",3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
" 7,350,000.00 "," 6,000.00 ",3,1,2,yes,no,no,no,yes,1,no,unfurnished
" 7,343,000.00 "," 11,440.00 ",4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
" 7,245,000.00 "," 9,000.00 ",4,2,4,yes,yes,no,no,yes,1,yes,furnished
" 7,210,000.00 "," 7,680.00 ",4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
" 7,210,000.00 "," 6,000.00 ",3,2,4,yes,yes,no,no,yes,1,no,furnished
" 7,140,000.00 "," 6,000.00 ",3,2,2,yes,yes,no,no,no,1,no,semi-furnished
" 7,070,000.00 "," 8,880.00 ",2,1,1,yes,no,no,no,yes,1,no,semi-furnished
" 7,070,000.00 "," 6,240.00 ",4,2,2,yes,no,no,no,yes,1,no,furnished
" 7,035,000.00 "," 6,360.00 ",4,2,3,yes,no,no,no,yes,2,yes,furnished
" 7,000,000.00 "," 11,175.00 ",3,1,1,yes,no,yes,no,yes,1,yes,furnished
" 6,930,000.00 "," 8,880.00 ",3,2,2,yes,no,yes,no,yes,1,no,furnished
" 6,930,000.00 "," 13,200.00 ",2,1,1,yes,no,yes,yes,no,1,no,furnished
" 6,895,000.00 "," 7,700.00 ",3,2,1,yes,no,no,no,no,2,no,unfurnished
" 6,860,000.00 "," 6,000.00 ",3,1,1,yes,no,no,no,yes,1,no,furnished
" 6,790,000.00 "," 12,090.00 ",4,2,2,yes,no,no,no,no,2,yes,furnished
" 6,790,000.00 "," 4,000.00 ",3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
" 6,755,000.00 "," 6,000.00 ",4,2,4,yes,no,no,no,yes,0,no,unfurnished
" 6,720,000.00 "," 5,020.00 ",3,1,4,yes,no,no,no,yes,0,yes,unfurnished
" 6,685,000.00 "," 6,600.00 ",2,2,4,yes,no,yes,no,no,0,yes,furnished
" 6,650,000.00 "," 4,040.00 ",3,1,2,yes,no,yes,yes,no,1,no,furnished
" 6,650,000.00 "," 4,260.00 ",4,2,2,yes,no,no,yes,no,0,no,semi-furnished
" 6,650,000.00 "," 6,420.00 ",3,2,3,yes,no,no,no,yes,0,yes,furnished
" 6,650,000.00 "," 6,500.00 ",3,2,3,yes,no,no,no,yes,0,yes,furnished
" 6,650,000.00 "," 5,700.00 ",3,1,1,yes,yes,yes,no,yes,2,yes,furnished
" 6,650,000.00 "," 6,000.00 ",3,2,3,yes,yes,no,no,yes,0,no,furnished
" 6,629,000.00 "," 6,000.00 ",3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
" 6,615,000.00 "," 4,000.00 ",3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
" 6,615,000.00 "," 10,500.00 ",3,2,1,yes,no,yes,no,yes,1,yes,furnished
" 6,580,000.00 "," 6,000.00 ",3,2,4,yes,no,no,no,yes,0,no,semi-furnished
" 6,510,000.00 "," 3,760.00 ",3,1,2,yes,no,no,yes,no,2,no,semi-furnished
" 6,510,000.00 "," 8,250.00 ",3,2,3,yes,no,no,no,yes,0,no,furnished
" 6,510,000.00 "," 6,670.00 ",3,1,3,yes,no,yes,no,no,0,yes,unfurnished
" 6,475,000.00 "," 3,960.00 ",3,1,1,yes,no,yes,no,no,2,no,semi-furnished
" 6,475,000.00 "," 7,410.00 ",3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
" 6,440,000.00 "," 8,580.00 ",5,3,2,yes,no,no,no,no,2,no,furnished
" 6,440,000.00 "," 5,000.00 ",3,1,2,yes,no,no,no,yes,0,no,semi-furnished
" 6,419,000.00 "," 6,750.00 ",2,1,1,yes,yes,yes,no,no,2,yes,furnished
" 6,405,000.00 "," 4,800.00 ",3,2,4,yes,yes,no,no,yes,0,no,furnished
" 6,300,000.00 "," 7,200.00 ",3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
" 6,300,000.00 "," 6,000.00 ",4,2,4,yes,no,no,no,no,1,no,semi-furnished
" 6,300,000.00 "," 4,100.00 ",3,2,3,yes,no,no,no,yes,2,no,semi-furnished
" 6,300,000.00 "," 9,000.00 ",3,1,1,yes,no,yes,no,no,1,yes,furnished
" 6,300,000.00 "," 6,400.00 ",3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
" 6,293,000.00 "," 6,600.00 ",3,2,3,yes,no,no,no,yes,0,yes,unfurnished
" 6,265,000.00 "," 6,000.00 ",4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
" 6,230,000.00 "," 6,600.00 ",3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
" 6,230,000.00 "," 5,500.00 ",3,1,3,yes,no,no,no,no,1,yes,unfurnished
" 6,195,000.00 "," 5,500.00 ",3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
" 6,195,000.00 "," 6,350.00 ",3,2,3,yes,yes,no,no,yes,0,no,furnished
" 6,195,000.00 "," 5,500.00 ",3,2,1,yes,yes,yes,no,no,2,yes,furnished
" 6,160,000.00 "," 4,500.00 ",3,1,4,yes,no,no,no,yes,0,no,unfurnished
" 6,160,000.00 "," 5,450.00 ",4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
" 6,125,000.00 "," 6,420.00 ",3,1,3,yes,no,yes,no,no,0,yes,unfurnished
" 6,107,500.00 "," 3,240.00 ",4,1,3,yes,no,no,no,no,1,no,semi-furnished
" 6,090,000.00 "," 6,615.00 ",4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
" 6,090,000.00 "," 6,600.00 ",3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
" 6,090,000.00 "," 8,372.00 ",3,1,3,yes,no,no,no,yes,2,no,unfurnished
" 6,083,000.00 "," 4,300.00 ",6,2,2,yes,no,no,no,no,0,no,furnished
" 6,083,000.00 "," 9,620.00 ",3,1,1,yes,no,yes,no,no,2,yes,furnished
" 6,020,000.00 "," 6,800.00 ",2,1,1,yes,yes,yes,no,no,2,no,furnished
" 6,020,000.00 "," 8,000.00 ",3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
" 6,020,000.00 "," 6,900.00 ",3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
" 5,950,000.00 "," 3,700.00 ",4,1,2,yes,yes,no,no,yes,0,no,furnished
" 5,950,000.00 "," 6,420.00 ",3,1,1,yes,no,yes,no,yes,0,yes,furnished
" 5,950,000.00 "," 7,020.00 ",3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
" 5,950,000.00 "," 6,540.00 ",3,1,1,yes,yes,yes,no,no,2,yes,furnished
" 5,950,000.00 "," 7,231.00 ",3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
" 5,950,000.00 "," 6,254.00 ",4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
" 5,950,000.00 "," 7,320.00 ",4,2,2,yes,no,no,no,no,0,no,furnished
" 5,950,000.00 "," 6,525.00 ",3,2,4,yes,no,no,no,no,1,no,furnished
" 5,943,000.00 "," 15,600.00 ",3,1,1,yes,no,no,no,yes,2,no,semi-furnished
" 5,880,000.00 "," 7,160.00 ",3,1,1,yes,no,yes,no,no,2,yes,unfurnished
" 5,880,000.00 "," 6,500.00 ",3,2,3,yes,no,no,no,yes,0,no,unfurnished
" 5,873,000.00 "," 5,500.00 ",3,1,3,yes,yes,no,no,yes,1,no,furnished
" 5,873,000.00 "," 11,460.00 ",3,1,3,yes,no,no,no,no,2,yes,semi-furnished
" 5,866,000.00 "," 4,800.00 ",3,1,1,yes,yes,yes,no,no,0,no,unfurnished
" 5,810,000.00 "," 5,828.00 ",4,1,4,yes,yes,no,no,no,0,no,semi-furnished
" 5,810,000.00 "," 5,200.00 ",3,1,3,yes,no,no,no,yes,0,no,semi-furnished
" 5,810,000.00 "," 4,800.00 ",3,1,3,yes,no,no,no,yes,0,no,unfurnished
" 5,803,000.00 "," 7,000.00 ",3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
" 5,775,000.00 "," 6,000.00 ",3,2,4,yes,no,no,no,yes,0,no,unfurnished
" 5,740,000.00 "," 5,400.00 ",4,2,2,yes,no,no,no,yes,2,no,unfurnished
" 5,740,000.00 "," 4,640.00 ",4,1,2,yes,no,no,no,no,1,no,semi-furnished
" 5,740,000.00 "," 5,000.00 ",3,1,3,yes,no,no,no,yes,0,no,semi-furnished
" 5,740,000.00 "," 6,360.00 ",3,1,1,yes,yes,yes,no,yes,2,yes,furnished
" 5,740,000.00 "," 5,800.00 ",3,2,4,yes,no,no,no,yes,0,no,unfurnished
" 5,652,500.00 "," 6,660.00 ",4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
" 5,600,000.00 "," 10,500.00 ",4,2,2,yes,no,no,no,no,1,no,semi-furnished
" 5,600,000.00 "," 4,800.00 ",5,2,3,no,no,yes,yes,no,0,no,unfurnished
" 5,600,000.00 "," 4,700.00 ",4,1,2,yes,yes,yes,no,yes,1,no,furnished
" 5,600,000.00 "," 5,000.00 ",3,1,4,yes,no,no,no,no,0,no,furnished
" 5,600,000.00 "," 10,500.00 ",2,1,1,yes,no,no,no,no,1,no,semi-furnished
" 5,600,000.00 "," 5,500.00 ",3,2,2,yes,no,no,no,no,1,no,semi-furnished
" 5,600,000.00 "," 6,360.00 ",3,1,3,yes,no,no,no,no,0,yes,semi-furnished
" 5,600,000.00 "," 6,600.00 ",4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
" 5,600,000.00 "," 5,136.00 ",3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
" 5,565,000.00 "," 4,400.00 ",4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
" 5,565,000.00 "," 5,400.00 ",5,1,2,yes,yes,yes,no,yes,0,yes,furnished
" 5,530,000.00 "," 3,300.00 ",3,3,2,yes,no,yes,no,no,0,no,semi-furnished
" 5,530,000.00 "," 3,650.00 ",3,2,2,yes,no,no,no,no,2,no,semi-furnished
" 5,530,000.00 "," 6,100.00 ",3,2,1,yes,no,yes,no,no,2,yes,furnished
" 5,523,000.00 "," 6,900.00 ",3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
" 5,495,000.00 "," 2,817.00 ",4,2,2,no,yes,yes,no,no,1,no,furnished
" 5,495,000.00 "," 7,980.00 ",3,1,1,yes,no,no,no,no,2,no,semi-furnished
" 5,460,000.00 "," 3,150.00 ",3,2,1,yes,yes,yes,no,yes,0,no,furnished
" 5,460,000.00 "," 6,210.00 ",4,1,4,yes,yes,no,no,yes,0,no,furnished
" 5,460,000.00 "," 6,100.00 ",3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
" 5,460,000.00 "," 6,600.00 ",4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
" 5,425,000.00 "," 6,825.00 ",3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
" 5,390,000.00 "," 6,710.00 ",3,2,2,yes,yes,yes,no,no,1,yes,furnished
" 5,383,000.00 "," 6,450.00 ",3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
" 5,320,000.00 "," 7,800.00 ",3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
" 5,285,000.00 "," 4,600.00 ",2,2,1,yes,no,no,no,yes,2,no,semi-furnished
" 5,250,000.00 "," 4,260.00 ",4,1,2,yes,no,yes,no,yes,0,no,furnished
" 5,250,000.00 "," 6,540.00 ",4,2,2,no,no,no,no,yes,0,no,semi-furnished
" 5,250,000.00 "," 5,500.00 ",3,2,1,yes,no,yes,no,no,0,no,semi-furnished
" 5,250,000.00 "," 10,269.00 ",3,1,1,yes,no,no,no,no,1,yes,semi-furnished
" 5,250,000.00 "," 8,400.00 ",3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
" 5,250,000.00 "," 5,300.00 ",4,2,1,yes,no,no,no,yes,0,yes,unfurnished
" 5,250,000.00 "," 3,800.00 ",3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
" 5,250,000.00 "," 9,800.00 ",4,2,2,yes,yes,no,no,no,2,no,semi-furnished
" 5,250,000.00 "," 8,520.00 ",3,1,1,yes,no,no,no,yes,2,no,furnished
" 5,243,000.00 "," 6,050.00 ",3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
